rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
1,0,0,9,3,65,20,10
0,0,1,9,3,2,22,18
0,0,6,11,3,53,10,4
1,1,5,12,0,30,19,8
0,1,5,5,1,14,20,19
0,0,5,12,0,14,7,22
1,1,4,11,3,8,6,23
1,1,0,5,1,2,13,28
0,0,1,3,1,3,7,27
1,0,5,5,1,119,7,5
0,0,0,10,3,45,1,22
0,0,2,8,2,2,12,22
0,1,1,8,2,28,6,14
1,0,0,4,1,18,13,16
0,1,0,12,0,26,22,10
1,0,0,8,2,17,11,27
0,1,4,6,2,117,17,1
1,1,2,9,3,3,18,5
0,1,5,5,1,30,9,12
0,0,0,11,3,4,21,5
0,1,0,4,1,11,18,30
1,1,4,10,3,13,17,12
1,1,2,7,2,17,13,4
1,0,4,6,2,65,10,1
1,0,0,6,2,21,7,4
0,0,6,9,3,13,10,23
0,0,6,8,2,10,10,5
1,1,1,2,0,8,20,27
0,1,0,4,1,9,17,2
0,1,2,5,1,16,7,2
1,0,4,4,1,2,16,13
1,0,0,4,1,4,13,16
0,1,0,10,3,34,5,8
0,0,0,11,3,18,0,19
1,0,0,9,3,118,11,10
0,1,3,10,3,11,17,18
1,0,1,5,1,5,12,1
0,1,2,3,1,12,16,14
1,1,0,8,2,28,10,27
1,1,6,9,3,34,10,30
1,0,3,11,3,32,14,22
1,0,4,9,3,161,21,14
0,0,2,11,3,72,22,14
1,0,4,4,1,20,12,27
0,1,5,9,3,7,20,22
0,1,5,9,3,61,11,22
0,0,1,6,2,33,8,12
0,1,1,7,2,46,10,31
0,0,0,11,3,25,17,12
0,1,5,7,2,20,7,7
1,0,0,1,0,8,23,15
1,1,6,6,2,53,14,3
1,1,6,4,1,62,15,15
0,1,2,11,3,28,11,21
0,1,1,2,0,8,7,27
1,1,4,2,0,34,15,23
0,0,5,6,2,34,15,16
0,0,0,12,0,44,14,10
1,1,5,7,2,30,15,14
1,0,0,11,3,27,18,19
1,0,6,8,2,10,6,5
0,0,6,6,2,6,13,17
1,0,4,8,2,40,17,3
0,1,0,9,3,12,13,24
1,0,4,10,3,13,13,26
0,1,4,9,3,23,11,28
0,1,5,6,2,20,8,2
0,1,2,2,0,12,22,28
0,1,2,5,1,3,5,30
0,0,0,3,1,4,20,5
1,0,1,9,3,66,0,4
0,1,1,6,2,29,13,19
1,1,2,6,2,5,22,6
1,1,2,7,2,22,23,4
0,0,2,3,1,7,17,28
1,1,1,4,1,25,12,10
1,1,3,8,2,33,14,16
1,1,2,1,0,9,6,31
1,0,5,10,3,34,11,6
1,1,5,12,0,24,13,1
1,1,1,3,1,4,7,27
1,1,2,8,2,26,12,15
0,1,6,6,2,3,13,17
0,1,3,5,1,5,14,3
1,0,0,5,1,9,16,14
0,0,2,7,2,11,3,4
1,1,0,8,2,32,3,20
1,0,4,9,3,2,8,14
0,0,0,4,1,22,23,9
0,0,6,8,2,55,8,5
1,1,3,2,0,13,23,8
0,0,2,4,1,4,10,18
1,1,4,9,3,16,10,28
1,0,0,4,1,4,16,16
0,1,6,8,2,23,15,12
1,1,0,8,2,25,13,20
1,1,1,9,3,73,15,4
0,0,6,5,1,23,17,27
0,0,4,10,3,28,18,5
1,1,1,6,2,18,6,12
0,1,0,12,0,9,14,31
1,0,6,6,2,5,21,3
0,0,4,6,2,17,20,29
0,0,0,5,1,13,1,28
0,1,5,2,0,21,5,24
0,1,0,2,0,31,13,5
0,0,0,12,0,4,18,17
0,0,6,11,3,6,13,11
0,0,1,6,2,14,3,19
0,1,6,6,2,13,14,10
1,1,2,7,2,111,15,4
1,1,2,1,0,19,7,17
1,0,2,4,1,7,11,11
0,0,4,5,1,7,9,11
1,1,3,8,2,27,21,30
0,1,0,9,3,44,13,17
1,0,2,8,2,35,19,15
1,1,5,2,0,8,5,3
0,0,2,2,0,3,17,21
0,0,6,5,1,68,9,27
0,1,1,2,0,15,18,20
0,0,6,11,3,11,7,11
1,0,0,10,3,25,14,29
1,1,0,7,2,10,23,9
1,0,3,8,2,52,15,9
0,1,5,12,0,21,6,15
0,1,1,11,3,27,22,20
1,1,0,1,0,10,18,29
1,0,2,5,1,17,21,30
1,1,0,10,3,3,15,8
0,1,3,10,3,8,5,11
0,0,2,10,3,26,10,10
1,1,5,4,1,9,17,21
1,0,6,5,1,47,15,6
0,0,2,8,2,13,11,29
0,0,6,1,0,15,13,21
1,0,2,8,2,152,10,8
0,0,5,10,3,32,23,20
0,0,1,6,2,15,4,5
1,1,6,11,3,11,23,18
1,0,2,12,0,41,13,26
0,0,1,5,1,12,7,22
1,0,2,12,0,28,17,12
1,1,5,11,3,27,19,17
0,1,5,6,2,22,8,23
0,1,3,10,3,6,15,18
1,0,1,8,2,18,0,7
0,0,6,8,2,43,20,26
1,0,2,5,1,5,22,30
0,1,4,6,2,3,12,29
1,1,3,3,1,4,9,8
1,0,3,6,2,51,18,28
1,0,4,7,2,52,13,20
0,1,5,3,1,23,15,31
0,0,6,6,2,6,15,17
1,1,5,5,1,20,21,26
0,0,1,10,3,18,14,16
0,1,3,9,3,121,10,20
1,1,6,6,2,23,19,3
0,1,4,4,1,22,6,13
0,1,1,8,2,16,5,21
0,0,5,4,1,21,12,21
1,1,4,3,1,20,17,2
1,0,6,8,2,131,11,12
0,1,6,1,0,13,20,7
0,1,0,9,3,27,20,10
0,1,0,2,0,11,16,5
0,1,1,6,2,30,19,12
0,0,1,10,3,12,18,30
1,1,6,8,2,7,19,19
0,0,4,2,0,10,18,23
